Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
1,Bulbasaur,NULL,NULL,0.7,6.9,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,45,49,49,65,0,45,253,0,0,0,1,0,0,1,45,Medium Slow,1059860,64,Monster,Grass,20,NULL,NULL
2,Ivysaur,NULL,NULL,1,13,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,60,62,63,80,0,60,325,0,0,0,1,1,0,2,45,Medium Slow,1059860,142,Monster,Grass,20,1,Level 16
3,Venusaur,NULL,NULL,2,100,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,80,82,83,100,0,80,425,0,0,0,2,1,0,3,45,Medium Slow,1059860,236,Monster,Grass,20,2,Level 32
3,Venusaur,Mega,NULL,2.4,155.5,Grass,Poison,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,X / Y,Kalos,80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,Medium Slow,1059860,281,Monster,Grass,20,NULL,NULL
3,Venusaur,Gigantamax,NULL,24,0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,87.5,12.5,70,Sword / Shield,Galar,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,236,Monster,Grass,20,NULL,NULL
4,Charmander,NULL,NULL,0.6,8.5,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,39,52,43,50,0,65,249,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Monster,Dragon,20,NULL,NULL
5,Charmeleon,NULL,NULL,1.1,19,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,58,64,58,65,0,80,325,0,0,0,1,0,1,2,45,Medium Slow,1059860,142,Monster,Dragon,20,5,Level 16
6,Charizard,NULL,NULL,1.7,90.5,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,78,84,78,85,0,100,425,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Monster,Dragon,20,6,Level 32
6,Charizard,Mega X,NULL,1.7,110.5,Fire,Dragon,Tough Claws,Powers up moves that make direct contact. ,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,X / Y,Kalos,78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,285,Monster,Dragon,20,NULL,NULL
6,Charizard,Mega Y,NULL,1.7,100.5,Fire,Flying,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,X / Y,Kalos,78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,285,Monster,Dragon,20,NULL,NULL
